fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220929 042937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	954011	0.0999624555924819	0.91078103140419	4431	297	5859	24690000	76
20220929 043424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1488	TRUE	954011	0.00507957394588776	0.286253451100197	2190	985	9378	26690000	77
20220929 043618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	726	TRUE	954011	0.0198624731111087	0.207240074549875	2265	974	10361	26640000	78
20220929 043829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	637	TRUE	954011	0.0101260139682903	0.253230800072476	2336	877	14332	23420000	79
20220929 043905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	954011	0.0549119239673346	0.378129296089115	2757	184	9683	26720000	80
20220929 043919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	954011	0.212852811230655	0.999550148817863	4155	129	7769	25110000	81
20220929 043938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	954011	0.054265515274587	0.921506834411431	203	16	8342	26040000	82
20220929 044002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	954011	0.0787546832509976	0.360852328952936	8000	1024	7567	25590000	83
20220929 044021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	954011	0.240500353579159	0.274629080598023	4399	953	5006	22870000	84
20220929 044038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	954011	0.130251421138849	0.999175506889789	7836	523	9946	26030000	85
20220929 044109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	954011	0.0572480880885954	0.354209275807514	1632	1024	8765	27030000	86
20220929 044314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	882	TRUE	954011	0.0189054210064553	0.241220859039159	4073	1022	10278	27050000	87
20220929 044353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	954011	0.0491761422266829	0.396610763600971	2578	779	8138	26290000	88
20220929 044535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	593	TRUE	954011	0.0251190218922229	0.6296482582659	5285	770	8702	27640000	89
20220929 044654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	473	TRUE	954011	0.0210003405418955	0.641465506392403	4802	946	9124	26480000	90
20220929 044802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	508	TRUE	954011	0.0322969257362149	0.61821245904091	5414	639	8303	2.7e+07	91
20220929 045056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	843	TRUE	954011	0.0103545285652773	0.516096918166429	2737	338	10373	26860000	92
20220929 045352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1031	TRUE	954011	0.00601109215814709	0.629841812735179	6645	792	8409	26790000	93
20220929 045429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	221	TRUE	954011	0.0557425673871779	0.628542879211367	4230	695	9142	26520000	94
20220929 045531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	181	TRUE	954011	0.0241014337132627	0.626446004692419	1020	889	8454	26460000	95
20220929 045641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	400	TRUE	954011	0.0201163913213075	0.629997444431502	5295	357	8829	26830000	96
20220929 045823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	954011	0.0193950943277068	0.443793721247022	2374	66	9324	27280000	97
20220929 045906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	245	TRUE	954011	0.0350835796686723	0.63390151920442	5201	757	7098	26210000	98
20220929 050024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	374	TRUE	954011	0.0248321981801053	0.457048660462943	4145	756	9306	26670000	99
20220929 050209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	673	TRUE	954011	0.0260676266991375	0.311346116824562	4411	1023	9751	26900000	100
20220929 050252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	954011	0.0485316967863958	0.352326461867464	215	167	10228	26350000	101
20220929 050344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	954011	0.0261462440643215	0.626978765381071	7211	652	8669	26110000	102
20220929 050436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	954011	0.0493598931498358	0.367505126016396	4046	1024	9363	27040000	103
20220929 051013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2096	TRUE	954011	0.00526373003989134	0.230193722924683	2786	410	10257	26690000	104
20220929 051038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	954011	0.124999712567231	0.940851256532224	7186	19	9545	26030000	105
20220929 051223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	565	TRUE	954011	0.0153827282161406	0.821873917068099	714	54	8343	26680000	106
20220929 051301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	954011	0.0582393284740791	0.872178383918409	1829	205	8880	26800000	107
20220929 051329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	954011	0.109457335012923	0.37106270628497	2305	581	8832	26100000	108
20220929 051630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1007	TRUE	954011	0.00577867866398429	0.873987990933867	4864	201	8366	26150000	109
